City,Lat,Long,Min_Temp,Max_Temp,Min_Rain,Max_Rain,Min_Humid,Max_Humid,Temp_Trend,Climate
Wapud City,95,14,31,52,5,8,16,39,1,1
Fuquurpolis,84,48,47,63,23,48,39,82,1,4
Yist City,2,80,72,90,0,6,38,82,1,2
Thaipolis,97,25,68,80,26,49,29,49,1,2
Quespville,28,31,11,23,3,26,49,58,0,1
Goufemtown,60,72,44,46,11,31,34,67,0,1
Echowtown,53,8,78,82,11,23,15,45,1,4
Ustehtown,93,3,18,27,21,38,2,46,0,1
Agho City,99,75,51,58,13,15,19,89,1,1
Quoal City,59,64,52,82,15,20,4,66,1,2
Roophpolis,89,62,37,58,1,16,39,42,1,2
Stietown,73,78,24,42,19,21,14,39,0,2
Phosm City,72,38,12,42,28,52,17,43,0,3
Chou City,23,81,9,11,5,20,52,69,1,2
Ghoiberg,6,85,48,50,6,24,20,76,1,4
Josptown,73,62,5,31,2,10,3,84,1,1
Haighville,17,88,2,34,0,4,48,88,1,0
Ushopolis,2,42,46,58,30,33,6,27,0,1
Wiejuwtown,37,5,67,76,10,13,39,79,0,0
Coukville,44,89,18,51,16,39,14,32,0,4
Nismville,16,36,81,108,11,24,53,63,1,4
Giwecberg,44,80,69,95,6,28,1,64,0,0
Osmu City,82,28,24,49,0,21,26,44,0,4
Moadid City,27,60,76,84,23,34,53,76,0,2
Istipolis,46,2,82,101,20,25,17,34,0,1
Shairpolis,26,34,0,21,4,17,4,91,1,1
Ciehtown,58,55,38,54,22,27,53,69,1,0
Sainuttown,36,87,66,72,8,18,21,63,0,1
Jouh City,27,66,25,39,16,41,12,15,1,3
Liestville,29,56,74,101,30,32,17,88,0,2
Nouchberg,94,98,47,73,9,30,55,88,0,0
Dishosberg,80,41,48,74,1,4,46,56,0,2
Bouchpolis,7,87,8,34,27,30,11,29,0,2
Keatown,26,25,59,74,24,32,34,100,0,3
Smoiberg,2,48,54,58,26,49,14,51,0,0
Ghoarville,57,88,0,11,7,15,51,67,1,4
Sustukville,91,16,9,41,15,21,19,51,0,0
Heshville,79,71,53,81,29,47,25,74,0,4
Ghaiberg,5,28,33,41,29,45,11,53,0,1
Laquinberg,15,82,28,34,28,52,40,65,1,1
Stoopolis,31,14,3,29,10,21,14,80,0,1
Joaberg,47,76,25,27,0,4,10,92,1,2
Rothtown,23,60,21,54,18,38,54,96,1,4
Thaphpolis,38,77,21,33,3,22,40,55,1,0
Paiville,60,53,44,74,17,33,12,66,1,3
Ismabville,79,75,37,65,24,44,41,55,1,2
Quaiville,95,21,83,97,21,40,33,84,0,4
Pestuytown,8,1,68,81,15,37,54,71,0,2
